NAME,Total Commuters,Driving Alone,Carpooling,Public Transportation,Walking,Cycling,Other Means,Worked from Home,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total Population,Median Income,Poverty Count,Median Age,Total Housing Units,Housing Units,Occupied Housing Units,Median Housing Value,Average Household Size,Median Gross Rent,state,county,tract,Poverty Rate,Labor Force 16-19,Labor Force 20-24,Labor Force 25-29,Labor Force 30-34,Labor Force 35-39,Labor Force 40-44,Labor Force 45-49,Labor Force 50-54,Labor Force Total,Housing Density,Housing Availability,Total Population,state_fips,county_fips,tract_code,GEOID,lat,lon,walkscore,bikescore,transitscore,walkscore_description,bikescore_description,transitscore_description
"Census Tract 1, Alcona County, Michigan",405.0,342.0,312.0,0.0,0.0,0.0,0.0,0.0,1554.0,10.0,0.0,0.0,0.0,6.0,74.0,1644.0,550.0,130.0,64.4,2168.0,2168.0,837.0,160300.0,1.96,,26,1,100,7.907542579075426,4,10,35,104,26,78,0,0,257,1318.734793187348,61.392988929889306,1644.0,26,1,100,26001000100,44.80985698842916,-83.4993194641678,0.0,22.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 9701, Alcona County, Michigan",832.0,723.0,648.0,0.0,0.0,0.0,0.0,0.0,2353.0,7.0,12.0,19.0,0.0,6.0,51.0,2448.0,676.0,387.0,56.9,1826.0,1826.0,1088.0,142700.0,2.19,153429000.0,26,1,970100,15.808823529411764,34,65,117,131,61,88,0,0,496,745.9150326797386,40.41621029572837,2448.0,26,1,970100,26001970100,44.745811488323774,-83.3359811513441,0.0,30.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 9704, Alcona County, Michigan",1005.0,926.0,786.0,0.0,0.0,0.0,0.0,0.0,2648.0,17.0,26.0,0.0,4.0,16.0,62.0,2773.0,830.0,370.0,55.4,1940.0,1940.0,1293.0,107900.0,2.11,141711000.0,26,1,970400,13.342949873782906,24,125,102,211,82,153,0,0,697,699.6033177064551,33.350515463917525,2773.0,26,1,970400,26001970400,44.62874305282239,-83.48640978806897,0.0,24.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 9705, Alcona County, Michigan",624.0,537.0,431.0,0.0,0.0,0.0,0.0,0.0,1849.0,0.0,3.0,9.0,0.0,10.0,52.0,1923.0,532.0,461.0,58.7,2971.0,2971.0,956.0,98400.0,2.01,,26,1,970500,23.97295891835673,16,43,65,105,37,67,0,0,333,1544.9817992719709,67.82228205991248,1923.0,26,1,970500,26001970500,44.686458780985625,-83.73522273802895,0.0,20.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 9706, Alcona County, Michigan",475.0,423.0,392.0,0.0,0.0,0.0,0.0,0.0,1290.0,23.0,2.0,0.0,0.0,7.0,28.0,1350.0,384.0,232.0,56.1,1458.0,1458.0,621.0,101800.0,2.16,,26,1,970600,17.185185185185183,13,9,92,95,18,82,0,0,309,1080.0,57.407407407407405,1350.0,26,1,970600,26001970600,44.55153984303534,-83.3650015559209,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 9900, Alcona County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,1,990000,,0,0,0,0,0,0,0,0,0,,,0.0,26,1,990000,26001990000,44.68194969083592,-82.8286131584097,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 1, Alger County, Michigan",1238.0,1075.0,960.0,0.0,0.0,0.0,0.0,0.0,3141.0,6.0,137.0,6.0,0.0,2.0,179.0,3471.0,830.0,364.0,55.2,2414.0,2414.0,1436.0,130500.0,2.35,,26,3,100,10.486891385767793,11,103,166,286,22,197,0,0,785,695.4768078363584,40.51367025683513,3471.0,26,3,100,26003000100,46.53278315642271,-86.23706574902731,0.0,33.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 2, Alger County, Michigan",888.0,691.0,607.0,0.0,7.0,0.0,0.0,0.0,2009.0,23.0,49.0,3.0,0.0,53.0,220.0,2357.0,583.0,310.0,46.1,1919.0,1919.0,869.0,156100.0,2.68,,26,3,200,13.152312261349172,15,64,168,172,72,91,0,0,582,814.17055579126,54.71599791558103,2357.0,26,3,200,26003000200,46.43666365286561,-86.86978387239098,0.0,38.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 3, Alger County, Michigan",640.0,543.0,477.0,0.0,0.0,0.0,0.0,0.0,2275.0,606.0,72.0,35.0,0.0,0.0,95.0,3083.0,545.0,210.0,40.1,1898.0,1898.0,755.0,158000.0,2.89,107854800.0,26,3,300,6.811547194291275,7,53,58,154,17,113,0,0,402,615.6341226078495,60.22128556375132,3083.0,26,3,300,26003000300,46.25923178643043,-86.8443149287068,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 9900, Alger County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,3,990000,,0,0,0,0,0,0,0,0,0,,,0.0,26,3,990000,26003990000,47.08127681819657,-86.56461939919492,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
