,NAME,Total Commuters,Driving Alone,Carpooling,Public Transportation,Walking,Cycling,Other Means,Worked from Home,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total Population,Median Income,Poverty Count,Median Age,Total Housing Units,Housing Units,Occupied Housing Units,Median Housing Value,Average Household Size,Median Gross Rent,state,county,tract,Poverty Rate,Labor Force 16-19,Labor Force 20-24,Labor Force 25-29,Labor Force 30-34,Labor Force 35-39,Labor Force 40-44,Labor Force 45-49,Labor Force 50-54,Housing Density,Housing Availability
0,"Census Tract 1, Alcona County, Michigan",405.0,342.0,312.0,0.0,0.0,0.0,0.0,0.0,1554.0,10.0,0.0,0.0,0.0,6.0,74.0,1644.0,550.0,130.0,64.4,2168.0,2168.0,837.0,160300.0,1.96,,26,001,000100,7.907542579075426,4,10,35,104,26,78,0,0,1318.734793187348,61.392988929889306
1,"Census Tract 9701, Alcona County, Michigan",832.0,723.0,648.0,0.0,0.0,0.0,0.0,0.0,2353.0,7.0,12.0,19.0,0.0,6.0,51.0,2448.0,676.0,387.0,56.9,1826.0,1826.0,1088.0,142700.0,2.19,153429000.0,26,001,970100,15.808823529411764,34,65,117,131,61,88,0,0,745.9150326797386,40.41621029572837
2,"Census Tract 9704, Alcona County, Michigan",1005.0,926.0,786.0,0.0,0.0,0.0,0.0,0.0,2648.0,17.0,26.0,0.0,4.0,16.0,62.0,2773.0,830.0,370.0,55.4,1940.0,1940.0,1293.0,107900.0,2.11,141711000.0,26,001,970400,13.342949873782906,24,125,102,211,82,153,0,0,699.6033177064551,33.350515463917525
3,"Census Tract 9705, Alcona County, Michigan",624.0,537.0,431.0,0.0,0.0,0.0,0.0,0.0,1849.0,0.0,3.0,9.0,0.0,10.0,52.0,1923.0,532.0,461.0,58.7,2971.0,2971.0,956.0,98400.0,2.01,,26,001,970500,23.972958918356735,16,43,65,105,37,67,0,0,1544.9817992719709,67.82228205991248
4,"Census Tract 9706, Alcona County, Michigan",475.0,423.0,392.0,0.0,0.0,0.0,0.0,0.0,1290.0,23.0,2.0,0.0,0.0,7.0,28.0,1350.0,384.0,232.0,56.1,1458.0,1458.0,621.0,101800.0,2.16,,26,001,970600,17.185185185185183,13,9,92,95,18,82,0,0,1080.0,57.407407407407405
5,"Census Tract 9900, Alcona County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,001,990000,,0,0,0,0,0,0,0,0,,
6,"Census Tract 1, Alger County, Michigan",1238.0,1075.0,960.0,0.0,0.0,0.0,0.0,0.0,3141.0,6.0,137.0,6.0,0.0,2.0,179.0,3471.0,830.0,364.0,55.2,2414.0,2414.0,1436.0,130500.0,2.35,,26,003,000100,10.486891385767791,11,103,166,286,22,197,0,0,695.4768078363584,40.51367025683513
7,"Census Tract 2, Alger County, Michigan",888.0,691.0,607.0,0.0,7.0,0.0,0.0,0.0,2009.0,23.0,49.0,3.0,0.0,53.0,220.0,2357.0,583.0,310.0,46.1,1919.0,1919.0,869.0,156100.0,2.68,,26,003,000200,13.152312261349172,15,64,168,172,72,91,0,0,814.17055579126,54.71599791558103
8,"Census Tract 3, Alger County, Michigan",640.0,543.0,477.0,0.0,0.0,0.0,0.0,0.0,2275.0,606.0,72.0,35.0,0.0,0.0,95.0,3083.0,545.0,210.0,40.1,1898.0,1898.0,755.0,158000.0,2.89,107854800.0,26,003,000300,6.811547194291275,7,53,58,154,17,113,0,0,615.6341226078495,60.221285563751316
9,"Census Tract 9900, Alger County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,003,990000,,0,0,0,0,0,0,0,0,,
10,"Census Tract 302, Allegan County, Michigan",1595.0,1435.0,1334.0,0.0,0.0,0.0,0.0,0.0,3227.0,56.0,0.0,71.0,0.0,41.0,14.0,3409.0,1043.0,62.0,48.4,1538.0,1538.0,1282.0,324500.0,2.66,,26,005,030200,1.818715165737753,30,82,242,372,58,89,0,0,451.1586975652684,16.644993498049416
11,"Census Tract 303.01, Allegan County, Michigan",1450.0,1336.0,1247.0,6.0,0.0,0.0,0.0,0.0,3071.0,0.0,0.0,12.0,0.0,2.0,25.0,3110.0,815.0,99.0,33.8,1021.0,1021.0,976.0,256000.0,3.19,,26,005,030301,3.1832797427652735,84,114,291,285,50,33,0,0,328.2958199356913,4.407443682664055
12,"Census Tract 303.02, Allegan County, Michigan",2440.0,2129.0,2114.0,0.0,0.0,0.0,0.0,0.0,4977.0,2.0,0.0,0.0,0.0,35.0,40.0,5054.0,1419.0,91.0,41.0,2040.0,2040.0,1899.0,240800.0,2.66,431980000.0,26,005,030302,1.8005540166204987,159,167,643,449,91,47,0,0,403.6406806489909,6.911764705882353
13,"Census Tract 304.02, Allegan County, Michigan",3571.0,3162.0,3070.0,0.0,0.0,0.0,0.0,0.0,6104.0,54.0,19.0,139.0,0.0,0.0,339.0,6655.0,1999.0,226.0,35.3,2497.0,2497.0,2349.0,256600.0,2.83,,26,005,030402,3.3959429000751316,64,273,557,660,76,56,0,0,375.2066115702479,5.927112535042051
14,"Census Tract 304.03, Allegan County, Michigan",2088.0,1960.0,1790.0,0.0,0.0,0.0,0.0,0.0,4493.0,0.0,0.0,0.0,0.0,0.0,28.0,4521.0,1224.0,427.0,32.1,1631.0,1631.0,1540.0,213800.0,2.93,376997800.0,26,005,030403,9.444813094448131,82,96,572,439,44,72,0,0,360.7608936076089,5.579399141630901
15,"Census Tract 304.04, Allegan County, Michigan",1842.0,1680.0,1604.0,0.0,0.0,0.0,0.0,0.0,3134.0,0.0,34.0,63.0,0.0,0.0,98.0,3329.0,973.0,82.0,40.4,1215.0,1215.0,1151.0,210400.0,2.89,217625600.0,26,005,030404,2.463202162811655,90,158,287,433,47,62,0,0,364.9744668068489,5.267489711934156
16,"Census Tract 305.01, Allegan County, Michigan",1355.0,1266.0,1194.0,0.0,0.0,0.0,0.0,0.0,2741.0,34.0,8.0,17.0,0.0,13.0,338.0,3151.0,1031.0,185.0,45.3,1269.0,1269.0,1137.0,266900.0,2.77,296205300.0,26,005,030501,5.8711520152332595,107,58,235,290,142,137,0,0,402.7292922881625,10.401891252955082
17,"Census Tract 305.02, Allegan County, Michigan",2536.0,2125.0,1974.0,0.0,1.0,0.0,0.0,0.0,4522.0,201.0,13.0,0.0,0.0,21.0,141.0,4898.0,1161.0,425.0,33.0,1975.0,1975.0,1961.0,143300.0,2.45,,26,005,030502,8.677011024908126,67,338,355,350,124,46,0,0,403.2258064516129,0.7088607594936709
