NAME,B01003_001E,state_fips,county_fips,tract_code,GEOID,lat,lon,walkscore,bikescore,transitscore,description,status,error
"Census Tract 1, Alcona County, Michigan",1644.0,26,001,000100,26001000100,44.80985698842916,-83.4993194641678,0.0,"{'description': 'Somewhat Bikeable', 'score': 22}",,Car-Dependent,success,
"Census Tract 9701, Alcona County, Michigan",2448.0,26,001,970100,26001970100,44.745811488323774,-83.3359811513441,0.0,"{'description': 'Somewhat Bikeable', 'score': 30}",,Car-Dependent,success,
"Census Tract 9704, Alcona County, Michigan",2773.0,26,001,970400,26001970400,44.62874305282239,-83.48640978806897,0.0,"{'description': 'Somewhat Bikeable', 'score': 24}",,Car-Dependent,success,
"Census Tract 9705, Alcona County, Michigan",1923.0,26,001,970500,26001970500,44.686458780985625,-83.73522273802895,0.0,"{'description': 'Somewhat Bikeable', 'score': 20}",,Car-Dependent,success,
"Census Tract 9706, Alcona County, Michigan",1350.0,26,001,970600,26001970600,44.55153984303534,-83.3650015559209,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 9900, Alcona County, Michigan",0.0,26,001,990000,26001990000,44.681949690835914,-82.8286131584097,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 1, Alger County, Michigan",3471.0,26,003,000100,26003000100,46.53278315642271,-86.23706574902731,0.0,"{'description': 'Somewhat Bikeable', 'score': 33}",,Car-Dependent,success,
"Census Tract 2, Alger County, Michigan",2357.0,26,003,000200,26003000200,46.43666365286561,-86.86978387239098,0.0,"{'description': 'Somewhat Bikeable', 'score': 38}",,Car-Dependent,success,
"Census Tract 3, Alger County, Michigan",3083.0,26,003,000300,26003000300,46.25923178643043,-86.8443149287068,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 9900, Alger County, Michigan",0.0,26,003,990000,26003990000,47.08127681819657,-86.56461939919492,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 302, Allegan County, Michigan",3409.0,26,005,030200,26005030200,42.740581906756766,-86.17658667914877,0.0,"{'description': 'Somewhat Bikeable', 'score': 32}",,Car-Dependent,success,
"Census Tract 303.01, Allegan County, Michigan",3110.0,26,005,030301,26005030301,42.724691166047755,-85.95679462587837,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 303.02, Allegan County, Michigan",5054.0,26,005,030302,26005030302,42.72467006883929,-85.8396543040607,16.0,"{'description': 'Somewhat Bikeable', 'score': 40}",,Car-Dependent,success,
"Census Tract 304.02, Allegan County, Michigan",6655.0,26,005,030402,26005030402,42.726062257655926,-85.60354153959204,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 304.03, Allegan County, Michigan",4521.0,26,005,030403,26005030403,42.74200113440867,-85.71027608253699,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 304.04, Allegan County, Michigan",3329.0,26,005,030404,26005030404,42.705919969960455,-85.73514619212094,3.0,"{'description': 'Somewhat Bikeable', 'score': 12}",,Car-Dependent,success,
"Census Tract 305.01, Allegan County, Michigan",3151.0,26,005,030501,26005030501,42.63300384402523,-85.59632077766085,0.0,"{'description': 'Somewhat Bikeable', 'score': 23}",,Car-Dependent,success,
"Census Tract 305.02, Allegan County, Michigan",4898.0,26,005,030502,26005030502,42.66620951497887,-85.63838621009491,19.0,"{'description': 'Somewhat Bikeable', 'score': 27}",,Car-Dependent,success,
"Census Tract 306, Allegan County, Michigan",5274.0,26,005,030600,26005030600,42.637874791971235,-85.78069936367409,4.0,"{'description': 'Somewhat Bikeable', 'score': 20}",,Car-Dependent,success,
"Census Tract 307.02, Allegan County, Michigan",4949.0,26,005,030702,26005030702,42.59108557284274,-85.95255468799762,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 307.03, Allegan County, Michigan",3128.0,26,005,030703,26005030703,42.5504830805848,-86.07281167594057,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 307.04, Allegan County, Michigan",5146.0,26,005,030704,26005030704,42.63544314042677,-86.06217823033741,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 308.01, Allegan County, Michigan",1922.0,26,005,030801,26005030801,42.65778938180678,-86.19862630917385,59.0,"{'description': 'Bikeable', 'score': 58}",,Somewhat Walkable,success,
"Census Tract 308.02, Allegan County, Michigan",3315.0,26,005,030802,26005030802,42.62817247611814,-86.17184201194868,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 309.01, Allegan County, Michigan",2809.0,26,005,030901,26005030901,42.460977308089525,-86.19297711608317,6.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 309.02, Allegan County, Michigan",2563.0,26,005,030902,26005030902,42.54820014254813,-86.18438417479891,4.0,"{'description': 'Somewhat Bikeable', 'score': 20}",,Car-Dependent,success,
"Census Tract 310.01, Allegan County, Michigan",3034.0,26,005,031001,26005031001,42.47147955878436,-86.09309659743722,1.0,"{'description': 'Somewhat Bikeable', 'score': 27}",,Car-Dependent,success,
"Census Tract 310.02, Allegan County, Michigan",3164.0,26,005,031002,26005031002,42.45948243240421,-85.98245115523626,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 311.01, Allegan County, Michigan",3524.0,26,005,031101,26005031101,42.4834877026337,-85.85739603411396,7.0,"{'description': 'Somewhat Bikeable', 'score': 32}",,Car-Dependent,success,
"Census Tract 311.02, Allegan County, Michigan",3204.0,26,005,031102,26005031102,42.52723684064631,-85.81804345906139,4.0,"{'description': 'Somewhat Bikeable', 'score': 4}",,Car-Dependent,success,
"Census Tract 312, Allegan County, Michigan",5634.0,26,005,031200,26005031200,42.52971839023754,-85.84956394194188,68.0,"{'description': 'Somewhat Bikeable', 'score': 48}",,Somewhat Walkable,success,
"Census Tract 313, Allegan County, Michigan",4873.0,26,005,031300,26005031300,42.55147627460366,-85.66214058937123,0.0,"{'description': 'Somewhat Bikeable', 'score': 9}",,Car-Dependent,success,
"Census Tract 318, Allegan County, Michigan",5288.0,26,005,031800,26005031800,42.46455161364983,-85.73886182022468,0.0,"{'description': 'Somewhat Bikeable', 'score': 25}",,Car-Dependent,success,
"Census Tract 319, Allegan County, Michigan",4741.0,26,005,031900,26005031900,42.464287143077364,-85.6803527015261,1.0,"{'description': 'Somewhat Bikeable', 'score': 20}",,Car-Dependent,success,
